texts,Classes,Key_words
"2,""Здравствуйте, я хотел узнать чтобы вы отменили вырубка лесов, и создали резервную процесс газа место дров. Газ заменяет дрова и отопления и лист бумаги тетради тоже надо заменить на электронную тетрадь. И вы, с экономите леса и меньше тетрадими пользоваться. Как моя, идея?""",Предложение благоустройство,"резерв, процесс, отопление, экономить "
"3,""Добрый день! Давайте для начала мы разместимся за 3500, в случае успешного размещения повторно обратимся к вам, т.к. у нас есть еще проекты и мы в поиске качественных партнеров для размещений. Нас интересует главная страница сайта, или раздел соответствующий нашей статье. У нас присутствую следующие виды оплат за размещение: Сбербанк Виза, webmoney ru en, tinkoff, yandex money, qiwi. Какой вам будет удобнее?""",Предложение сайт,"партнер, сайт, проект, оплата, Сбербанк Виза, webmoney, tinkoff, yandex money, qiwi"
"4,""Уважаемый Сергей Семенович, В рампах городской программы с 1 января 2020 года город Москва перешел на раздельный сбор мусора. Вместе с тем препятствует реализации этой программы наличие мусоропроводов св которых данный мусор не сортируется и эффект от применения городской программы может быть отрицательный в следствии того, что жителям """"удобно"""" выкидывать мусор на лестничной клетке, а не спускаться к мусорному контейнеру на улицу. Мусоропроводы в жилых домах, которые в 70-х годах прошлого века считались чуть ли не символом благополучия стали рассадником тараканов, муравьев и крыс. Несознательные жители путают мусоропровод с туалетом и выливают в него жидкие отходы. Таким образом собственники и жители многоквартирных домов не только привыкнут выбрасывать мусор в контейнеры, но и осуществлять его раздельный сбор.  Кроме того, указанный эксперимент будет способствовать снижению расходов на содержание многоквартирных домов и снизит затраты города. К сожалению принять решение собственниками дома (по жилищному кодексу такое решение должны принимать не менее 2/3 собственников становится не реально. Предлагаем Вам рассмотреть возможность проведения эксперимента по завариванию (блокированию) лючков мусоропроводов на 1 год в многоквартирных домах имеющих высоту до 12 этажей и разблокирования их только в случае обращения не менее 2/3 собственников многоквартирного дома в управляющую организацию. Вместе с тем, реальную поддержку программе раздельного сбора мусора могла бы оказать разовая акция по блокированию (завариванию) клапанов мусоропровода, для побуждения жителей выбрасывать его самостоятельно в мусорный контейнер и разделять перерабатываемый и не перерабатываемый мусор. В случае Вашего согласия, предлагаю начать эксперимент по мусоропроводам с района Лефортово""",Предложение благоустройство,"контейнер, мусор, мусоропровод, таракан, крыса, муравей, туалет, клапан"
"5,""Я инвалид 2 группы. После инсульта и частичного паралича, благо не расторопности врачей 51 больницы, уже 6 лет учусь самостоятельно ходить ,говорить и ухаживать за собой. О дело не в этом. Хорошо бы можно сделать так чтобы я мог бы в письменном виде подать заявку скажем на электрика или водопроводчика. Конечно я могу позвонить диспетчеру, но из-за моей невнятной речи, боюсь меня не поймут. Сделайте возможность в письменном виде сделать заявку на специалиста! Уже несколько дней не горит лампочка, вернея дежурный свет есть, но он горит когда люди уходят или приходят с работы. Днём кромешная темнота. Если есть возможность вызвать электрика, буду премного благодарен. Проживаю по адресу Кастанаевская улица дом 9, корпус 1, подъезд 1, 13 этаж, квартира 46. Прошу меня извинить за может быть нелепое обращение.""",Предложение медицина,"инвалид, инсульт, паралич, врач, больница"
"6,""здравствуйте, меня зовут Бубли#имяна и я тренер по спортивной гимнастике, проживаю в Северо-Восточном Административном Округе Москвы. Прощу взять во внимание, что в нашем районе нет специализированного зала по гимнастике (с минеральным оборудованием) приходиться снимать смешные «комнатушки» для хореографии, ютиться в них, и все это не бюджет, хороший зал в аренду невероятно дорог, хотя и такого не имей в нашем обзоре! Прошу выделить помещение для детей! С минимальным оборудованием для спортивной гимнастике. Очень много желающий заниматься данным видом спорта, но нет возможно посещать залы такие как на ЦСК  изо их территориальной недоступности !  Останкино, ВДНХ - огромнейший круг желающий родителей и детей, вести здоровый, правильный образ жизни,  заниматься акробатикой, гимнастикой! На данный момент люди лишены этой возможности !  Очень настоятельно прошу, отнести со всей серьёзностью к данному обращение, если понадобиться то и до Презедента можно дойти.""",Предложение благоустройство,"проживая, округ, район"
"7,""Здравствуйте! Прошу вас дополнить информацию в публикации """"В «Физтехпарке» пройдет курс по управлению ИТ-продуктами"""". Из нее складывается впечатление, что курс проводит Физтехпарк, однако, на самом деле - это инициатива компании Acronis и ВУЗа МФТИ. На сайте бесплатного курса есть вся информация об этом. Дополните, пожалуйста""",Благоустройство,"Физтехпарк, курс, МФТИ, ВУЗ"
"8,""Просьба добавить возможность подключения к ЭЖД других детей. В настройках ЭЖД такая возможность сейчас отсутсвует. В школе и МФЦ  решить проблему не могут. При наличии данных в системе на двух детей, подключить второго невозможо!!!""",Предложение сайт,ЭЖД
"9,""Добрый день, 1. На сайте mos.ru нужно поставить блокировку по записи одного и того же человека на разное время в разные центры госуслуг для фотографирования на загранпаспорт. Сейчас один и тот же человек может зарегистироваться неск раз в разные центры на разное время, из-за этого часто все время отмечено как занято на сайте, а по факту когда приходишь в центр госуслуг там никого из людей нет. Наблюдала данную картину лично. например, на госуслугах это хорошо организованно, при подачи заявления на регистрацию брака, он дает возможность забронировать только 1 загс и одно время. 2. Дайте возможность фотографироваться на загран паспорт в любых центрах госуслуг города Москвы, разгрузите центры! например, сейчас время в центре госуслуг Коньково занято на месяц вперед, а в центре госуслуг Якиманка след неделя вся свободна, выбирай любое время.""",Предложение сайт,"запись, гусуслуга, фотографировать, регистрация, бронь, забронировать"
"10,""Здравствуйте,  столкнулся с проблемой на сайте по оплате электроэнергии,  при обращении в поддержку оказалось, что проводятся технические работы о чем мне не было известно. Предлагаю при проведении каких-либо технических работ, уведомлять пользователей об этом, чтобы не вводить в заблуждение относительно оплаты.""",Предложение сайт,"техническая работа, поддержка, пользователь"
"11,""планирование город москва развитие населения подердание материнского капитала покументы толькопри встрече с мером""",Спам,
"12,""Предлагаю, Новый раздел, Дороги из города, со словами Пути, Облачные ресурсы, под Эгидой NOAA, можно, запустить беспилотник для аэро-фотосъёмки, с участием и без линзы человека, а так же, с атмосферной глюкоминовой линзой, поддерживающей чистоту фотографии, и поддающуюся обработке в фото-редакторе Adobe Photoshop, что выведет, на новый, премиальный уровень мос-фотографию, у меня то же, есть, Фотосалон, это здорово, Экспертное заключение, оплата за снимок 61 000 рублей, 35-мм кадры, доступны для публикации в Web, Это WEB 3.1(0), такого, нигде нет, Это Тверская 13, +00000000000223""",Предложение сайт,
"13,""Здравствуйте! Москва и Московская Область два разных субъекта РФ. Город Москва выходит на самый высший уровень по сравнению с областью. Жители городов Химки, Мытищи, Одинцово и тд., которые находятся в шаге от города Москва страдают от коррупции чиновников в области, а так же произвола начиная от приёмов в детские сады, школы во все в муниципальные учереждения. Прошу Вас помочь, так как Область не реагирует на обращение жителей города Химки, которые окружены Москвой, но являются другим отдельным районом не входящий в состав города Москвы. Химки перерос область более 15 лет назад. Почему бы границу Москвы и Области не сделать более """"ровной"""". Пример общественного транспорта платить надо двумя разными проездными картами Москвы (Тройка) и Области (Стрелка), это мучение, хотя бы можно объединить в единую карту сделать единую карту. Логистика и открытие новых транспортных объектов в Области практически невозможно. Прошу внимание о том что Ваш обратный ответ может быть в теме того, что Город Москва не имеет никакого отношения и решения к Областным городам таким как Мытищи, Химки и Люберцы и тд., такой ответ никак не поможет решить проблемы жителей Химок и других городов Московской Области. Десятки тысяч людей живя в Химках работают в Москве и эту проблему нужно решать, так как Область это не тот субъект РФ который хочет решать проблемы своих жителей. Пожалуйста прошу обратить внимание и на ближайшие субъекты РФ, а так же заниматься расширением города Москвы, а так же повышать авторитет города Москвы перед другими субъектами. Так же на сайте Change.org вы можете найти петицию жителей Химок которые хотят присоединиться к городу Москве.""",Предложение благоустройство,"коррупция, чиновник, петиция"
"14,""Разработчики сайта решили использовать очень плохую практику: при наведении курсора мыши на разные элементы сайта, то они ничают раскрываться, показывать окна с подсказками и так далее. Это очень раздражает. Если пользователь случайно перекрыл курсором какой-то элемент, то это вовсе не сигнал чего-то открывать. Надеюсь вы исправите это. В целом всё выглядит красиво и современно, кроме этой одной детали.""",Предложение сайт,"разработчик, сайт, курсор, окно с подсказками, сигнал"
"15,""По поводу новости культуры. Лучше бы кинотеатр Салют оставался неотремонтированным, но с ценой на билет по вторникам (как было до ремонта) 150 руб. За 280 руб не пойдем. Так что """"не спасибо""""""",Благоустройство,"кинотеатр, билет"
"16,""Здравствуйте сделайте пожалуйста возможность стандартного удаления учётной записи,то есть учётная запись> например,личные данные>удалить учётную запись.""",Предложение услуги,"учетная запись, личные данные"
"17,Наймите больше сотрудников по адресу Молостовых 1Г. Ожидание электронной очереди за биометрическим паспортом составляет 1 месяц. Повторюсь - один месяц!!!! Я сегодня смог записаться только на 16 марта. Это как называется?!",Предложение услуги,"сотрудник, биометрический паспорт"
"18,""Доброй, в целом, сайт отличный, но стал бы в три раза лучше с темной темой! думаю, вы знаете насколько это сейчас популярно, и есть за что! глаза напрягаются куда меньше, и дизайн выглядит куда дружелюбнее, так вот,  моя ночная просьба заключается именно в темной теме, заранее благодарю!""",Предложение сайт,дизайн сайта
"19,""Доброй, в целом, сайт отличный, но стал бы в три раза лучше с темной темой! думаю, вы знаете насколько это сейчас популярно, и есть за что! глаза напрягаются куда меньше, и дизайн выглядит куда дружелюбнее, так вот,  моя ночная просьба заключается именно в темной теме, заранее благодарю!""",Предложение сайт,дизайн сайта
"20,В настоящее время отсутствует получение результатов мед.анализов в электронном виде от Женской Консультации (ФИЛИАЛ №2 - ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА №52 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ). Прошу добавить возможность получения всех результатов в электронном виде.",Предложение услуги,электронный вид
"21,""Просьбы: 1. НАПИСАТЬ НА САЙТЕ порядок ПРОДЛЕНИЯ (ПЕРЕЗАПУСКА)  социальной карты москвича для пенсионеров в случае приближения срока её окончания. 2. Обеспечить НА САЙТЕ возможность ПОДАЧИ ЗАЯВКИ на порядок ПРОДЛЕНИЯ (ПЕРЕЗАПУСКА)  социальной карты москвича для пенсионеров в случае приближения срока её окончания. Спасибо!""",Предложение сайт,"сайт, перезапуск"
"22,""Добрый день! Корректна ли формулировка в последнем абзаце? «Сведениям, составляющИХ, содержащИХся». Скриншот страницы прилагается. Спасибо.""",Предложение сайт,"Формулировка, скриншот"
"23,""На главной страницу каталога услуг не хватает вкладки Новое. Можно вделать, там же, где и Полулярное""",Предложение сайт,вкладка
"24,""На главной страницу каталога услуг не хватает вкладки Новое. Можно вделать, там же, где и Полулярное""",Предложение сайт,вкладка
"25,""Добрый день! Хорошо бы добавить на рабочий стол детям значок """"Питание"""" рядом со значками """"Активность"""", """"Дневник"""", """"Задания"""". Чтобы можно было быстро зайти и выбрать питание ребенку, а не тратить время на поиск такой функции.""",Предложение сайт,"значок, функция"
"26,""Добрый день! Хорошо бы добавить на рабочий стол детям значок """"Питание"""" рядом со значками """"Активность"""", """"Дневник"""", """"Задания"""". Чтобы можно было быстро зайти и выбрать питание ребенку, а не тратить время на поиск такой функции.""",Предложение сайт,"значок, функция"
"27,""Тема: Информационные технологии Ежедневно «тысячи» москвичей осуществляют поверку водяных счётчиков. Затем, направляются в соответствующие структурные подразделения, в моем случае «Жилищник Останкино» чтобы сдать на регистрацию документы о поверке. И здесь  обнаруживается, что приём только три дня в неделю, да и копии надо сделать самому и предоставить вместе с оригиналами (ксероксом офисным пользоваться - Нельзя. Представляется целесообразным, при дальнейшей модернизации ПО Ваших ресурсов, включить опцию передачи сведений о поверке водяных счетчиков через личный кабинет, с приложением сканов или фото документов о поверке. БЕЗБУМАЖНЫЕ технологии - это звучит гордо!  С, Уважением Владимир, пенсионер, ветеран труда, инвалид 2 гр.""",Предложение услуги,водянные счетчики
"28,""Я не понимаю для чего создан портал и для чего передавать все сведения через него (тратя  достаточно времени), что бы потом бежать в мфц с пакетом документов, которые были отсканированы и уже добавлены в список документов. Не удобная функция, когда на руках новорожденный. Может стоит пересмотреть порядок предоставления документов?.""",Предложение услуги,"портал, отсканировать, документы"
"29,""ЧТОБЫ СПОРАДИЧЕСКИ НЕ ДЁРГАТЬСЯ ИЗ-ЗА ПЕРИОДИЧЕСКИ МУТИРУЮЩИХ ВИРУСОВ ГРИППА И ЭПИДЕМИЙ, НАДО ПРОСТО ЗАНИМАТЬСЯ ПРОФИЛАКТИКОЙ СРЕДЫ ОБИТАНИЯ ГОРОДСКОГО НАСЕЛЕНИЯ РОССИИ И В МЕСТАХ СКОПЛЕНИЯ(УЧЕРЕЖДЕНИЯ И ГОРОДСКОЙ ТРАНСПОРТ) . ОДИН ГЕКТАР НАСАЖДЕНИЙ МОЖЖЕВЕЛЬНИКА В ГОРОДСКОЙ ЧЕРТЕ ФИТОНЦИРУЕТ ВОЗДУХ ДЛЯ 100 000 ЖИТЕЛЕЙ И ДЕЛАЕТ НЕВОЗМОЖНЫМИ УСЛОВИЯ ДЛЯ РАСПРОСТРАНЕНИЯ БОЛЕЗНЕЙ, ПЕРЕДАЮЩИХСЯ ВОЗДУШНО-КАПЕЛЬНЫМ ПУТЁМ. https://agrostory.com/info-centre/fans/mozhzhevelnik-poleznye-svoystva-rasteniya-i-primenenie/""",Предложение благоустройство,"среда обитания, городское население"
"30,В нашей 197 по ул Новоорловская платная медицина съедает бесплатную.Запись по т.4955393000 это невозможна а запись  по направлкнию только в платное.",Медицина,"пандемия, медицина"
"31,""Здравствуйте.Вопрос о пересадке в метро, в частности Петровский парк и  Динамо, в ночное время. Как известно, сейчас идёт стройка подземной пересадки с этих станций, в пределах метро, без подъёма в город. Это конечно упростит переход. Мне кажется, что сейчас было бы удобно, в ночное время допускать вход пассажиров, особенно в центре города, в метро после 1 часа ночи, учитывая что поезда выезжают с конечных станций в 1-00 и продолжают свой маршрут до 30-40 минут. И некоторое время пассажир ещё может сесть в поезд и доехать. К примеру, в центре, в 1-15 ещё можно успеть на поезд. А вход закрывается ровно в 1-00. Ведь станции работают на выход, дежурные на месте. Мне кажется можно было бы продлить работу на 30 мин для входа. Получается поезда ходят, выйти можно, а вот войти нет. И доехать тоже нельзя. Людей не пускают. Мы ехали со станции м.Боровское шоссе к м.Водный стадион. Если бы была пересадка в пределах метро, мы бы пересели в 1 час ночи на зеленую ветку и доехали бы, не выходя в город. А так пересадка по улице, и вход был уже закрыт.  И пересесть (фактически войти) в 1-15, и сесть на проезжающие поезда на станции метро Динамо, в направлении Ховрино уже нельзя. Хотелось бы, чтобы график входа в метро совпадал с графиком фактического движения поездов, а не закрывался ровно в 1 час ночи, независимо ни от чего.""",Предложение транспорт,"метро, переход, город, войти, выйти, парк,.... ветка, Ховрино, поезд, движение"
"32,""Здравствуйте.Вопрос о пересадке в метро, в частности Петровский парк и  Динамо, в ночное время. Как известно, сейчас идёт стройка подземной пересадки с этих станций, в пределах метро, без подъёма в город. Это конечно упростит переход. Мне кажется, что сейчас было бы удобно, в ночное время допускать вход пассажиров, особенно в центре города, в метро после 1 часа ночи, учитывая что поезда выезжают с конечных станций в 1-00 и продолжают свой маршрут до 30-40 минут. И некоторое время пассажир ещё может сесть в поезд и доехать. К примеру, в центре, в 1-15 ещё можно успеть на поезд. А вход закрывается ровно в 1-00. Ведь станции работают на выход, дежурные на месте. Мне кажется можно было бы продлить работу на 30 мин для входа. Получается поезда ходят, выйти можно, а вот войти нет. И доехать тоже нельзя. Людей не пускают. Мы ехали со станции м.Боровское шоссе к м.Водный стадион. Если бы была пересадка в пределах метро, мы бы пересели в 1 час ночи на зеленую ветку и доехали бы, не выходя в город. А так пересадка по улице, и вход был уже закрыт.  И пересесть (фактически войти) в 1-15, и сесть на проезжающие поезда на станции метро Динамо, в направлении Ховрино уже нельзя. Хотелось бы, чтобы график входа в метро совпадал с графиком фактического движения поездов, а не закрывался ровно в 1 час ночи, независимо ни от чего.""",Предложение транспорт,"метро, переход, город, войти, выйти, парк,.... ветка, Ховрино, поезд, движение"
"33,""О, Господи, я только что написал вам огромный текст, случайно нажал """"условия соглашения..."""" вместо """"галочки"""" и все пропало, это ад какой-то, безумие, так же я обращался в колл-центр по одному вопросу через чат через моб. приложение на андроиде (сейчас тоже пишу через приложение, но оно как браузер открыло мне данное окошко) так вот, там тоже набирал текст, свернул и меньше чем через минуту захожу обратно и что я вижу - да ничего! Весь текст пропал, на данный момент что-то ни у одного приложения я не встречаю такого недочета, я просто в недоумении мягко говоря, это приносит колоссальные неудобства, считаю что такого недоразумения просто не должно быть в наше-то время, исправьте, пожалуйста!""",Сайт,"текст, колл-центр, мобильное приложение, приложение ,браузер"
"34,""О, Господи, я только что написал вам огромный текст, случайно нажал """"условия соглашения..."""" вместо """"галочки"""" и все пропало, это ад какой-то, безумие, так же я обращался в колл-центр по одному вопросу через чат через моб. приложение на андроиде (сейчас тоже пишу через приложение, но оно как браузер открыло мне данное окошко) так вот, там тоже набирал текст, свернул и меньше чем через минуту захожу обратно и что я вижу - да ничего! Весь текст пропал, на данный момент что-то ни у одного приложения я не встречаю такого недочета, я просто в недоумении мягко говоря, это приносит колоссальные неудобства, считаю что такого недоразумения просто не должно быть в наше-то время, исправьте, пожалуйста!""",Сайт,"текст, колл-центр, мобильное приложение, приложение ,браузер"
"35,""Простите, но ваши """"менюшки"""" при попытке войти в личный кабинет не работают! Несколько раз ввела свой адрес  из списка... Несколько раз ввела свой код.... Система требует """"оригинальный код"""" - я должна его придумать? Зачем? Или где я должна его указать?""",Сайт,"личный кабинет, менюшки, код ,список"
"36,Ребят! Вы там совсем перенанозапредвобщем-щифранулись?Хочу изменить данные и на это мне дают считанные секунды.Не успела придти смс  - а я еще должен ее вбить в три поля.Вы уж там как то решите вопрос.У нас ведь не космическая связь как у президента и у мэра.А смс иногда приходят и вообще через минуту.Так что-решите вопрос!!!Пож!!!",Сайт,"данные, смс"
"37,""в качестве одного из симптомов заражения COVID-19 на вашем сайте указано чихание ЧИХАНИЕ НИКОГДА НЕ БЫЛО СИМПТОМОМ COVID-19, И НА ЕГО _ОТСУТСТВИЕ_ ПРИ ПРОЧИХ СИМПТОМАХ РЕСПИРАТОРНОГО ЗАБОЛЕВАНИЯ УКАЗЫВАЕТСЯ КАК НА ОДИН ИЗ ВАЖНЫХ ПРИЗНАКОВ ЗАРАЖЕНИЯ COVID-19 ЧИХАНИЕ ОТСУТСТВУЕТ В СПИСКАХ СИМПТОМОВ НА  Стопкоронавирус.рф — Официальном интернет-ресурсе для информирования населения по вопросам коронавируса, русурсах ВОЗ и CDC (Центра по контролю и профилактике заболеваний США )""",Медицина,"COVID-19,ЧИХАНИЕ, симптом"
"38,""Добрый день! предлагаю перестать плодить миллион логинов и паролей для детей и их родителей. Мы постоянно получаем сообщения - заведите эл. дневник - ок, завели, мама, папа. Потом заведите Якласс, потом заведите еще какой-то портал и чтоб доступ у вас и ребенка - с разными паролями, заведите гто - просто зарегистрируйтесь, а то учителя будут ругать - а потом началось - обязательно прийти, обязательно отмечаться, явка 100 %. Теперь опять - заведите доступ к эл дневнику для ребенка, опять логин, пароль. В чем сложность прислать ДЗ на эл.дневник? почему ребенок не может зайти и работать с моей учетки? Оптимизируйте пожалуйста все сервисы. нет си л уже придумывать логины и пароли (ребенок их не запоминает - лишняя головная боль для родителей) сведите все, что касается школы в 1 месте с 1 логином и паролем. спасибо за понимание.""",Предложение сайт,"логины, пароли, учетка ,учетная запись, оптимизируйте"
"39,""Доброго времени суток. Просьба сделать невозможным редактирование ЭЖД задним числом после того, как родители подписали дневник. Участились случаи, когда учителя ставят оценки задним числом. Три недели спустя ставят оценки в уже подписанный дневник. Спасибо. С уважением, Олег.""",Предложение сайт,"ЭЖД рекдатировать, просьба"
"40,""Добрый день уважаемые разработчики. Спасибо за вашу работу, облегчившую нам жизнь. Можно внести предложение - подключите пожалуйста услуги МЭШ для  детей через аккаунт родителей, что бы мы могли открывать не только дневник с оценками , а и задания , которые учитель дает в МЭШ.  СПАСИБО""",Предложение сайт,"Предложение, подключите, аккаунт"
"41,в разделе детей добавить кнопку для упрощенной регистрации детей в электронном журнале и еще каких-нибудь электронных сервисах.",Предложение сайт,"кнопка, эл.жур.,электронный журнал, электронный сервис"
"42,""А почему бы не сделать,чтобы на портал mos.ru можно было зайти  любому зарегистрированному пользователю и с любого браузера,а не только с тех,которые  удобны службе поддержки?Ведь за такие деньги,он должен работать намного лучше Google и просто летать,а не виснуть постоянно или не открываться...""",Предложение сайт,"mos.ru, зарегистрировать, служба поддержки, виснуть"
"43,""Предлагаю лечить  пожилых больных  при коронавирусе сульфокамфокаином, лонгид азой, мильдронатом.   Метод введения по состоянию больного А так же учитывать дозировку.  Бывший врач клинического, кардиологического санатория для ВЕТЕРАНОВ ПАРТИИ ( 75- 95 лет) С  уважением Ветеран Труда, бывший врач. Э/П   #ЭПОЧТА                            903-711-51-91""",Предложение медицина,"лечить, больной, короновирус, дозировка, врач,  клиника, саноторий"
"44,""при оформлении Запроса, изменение и отмена доступа к электронной медицинской карте брать эту информацию из федеральных госуслуг, где она уже верифицирована, а не заставлять заполнять эти поля повторно на сайте госуслуг Москвы, перепечатывая вручную те же документы""",Предложение сайт,"запрос, оформление, электронная карта, гослуслуги, вертификация"
"45,""Организовать доставку продуктов  на онлай заказов в течение 24-48 часов на сумму от 1,000 тыс рублей.""",Предложение услуги,"доставка, онлайн"
"46,""В условиях карантина, граждане обязаны находится дома. Естественно возрастет потребление электроэнергии (телевизоры, компьютеры и пр.). Хорошо бы, чтоб Мосэнергоосбыт, хотя бы на время карантина, снизил тарифы для населения.""",Предложение благоустройство,"потребляемая электроэнергия, мосэнергобыт, тариф"
"47,""Добрый вечер Я пыталась сдать документы в пятницу в МФЦ на получение субсидии, но отдел ушел на карантин и мне сказали что я могу оформить документы на mos.ru, но тут нет вкладки оформить субсидию. Пожалуйста подскажите как найти эту вкладку куда сдать документы.""",Услуги,"МФЦ, mos.ru"
"48,""Прошу восстановить электронную предварительную запись № 0318-8010652, 30 марта 2020г. в 13:05 (Регистрация прав на недвижимое имущество - Купля-продажа), количество дел/объектов 1 и разрешить сдачу документов на регистрацию в связи с тем, что заявка была сделана в срок 27.03.2020г. и согласно распоряжения о возможности посещения центров только по электронной предварительной записи (до указа Мэра Москвы от 29 марта 2020 г. № 34-УМ) и в связи жизненно важной ситуацией. Считаю, что правительство Москвы должно выполнять обязательства по ранее сделанным указам и распоряжениям.""",Услуги,электронная запись
"49,Просьба официально запретить ремонтные работы в квартирах на время карантина.",Предложение благоустройство,"Просьба, ремонт"
"50,""Добрый день. Предлагаем разместить на сайте mos.ru информацию о возможности покупать продукты и товары первой необходимости онлайн, в том числе через сервис  iGooods.ru Готовы предоставить промокод на первую бесплатную доставку.""",Предложение благоустройство,"Доставку, предлагаю"
"51,здравствуйте!не получается зайти в электронный журнал!пожалуйста исправьте неполадки!",Сайт,"электронный журнал, войти"
